OA,Pop_marr,Married,Civil,Mean_married
E00026745,245,56,0,0.22857142857142856
E00026746,307,44,0,0.14332247557003258
E00026747,250,98,0,0.392
E00026748,441,57,1,0.13151927437641722
E00026749,205,49,0,0.23902439024390243
E00026750,341,147,0,0.4310850439882698
E00026751,360,180,0,0.5
E00026752,305,35,0,0.11475409836065574
E00026753,330,137,3,0.42424242424242425
E00026754,357,150,4,0.43137254901960786
E00026755,301,153,1,0.5116279069767442
E00026756,416,76,0,0.18269230769230768
E00026758,604,3,0,0.004966887417218543
E00026759,293,31,0,0.10580204778156997
E00026760,537,11,1,0.0223463687150838
E00026761,176,40,0,0.22727272727272727
E00026764,458,55,3,0.12663755458515283
E00026765,419,120,0,0.2863961813842482
E00026766,461,88,6,0.2039045553145336
E00026767,339,109,0,0.3215339233038348
E00026768,307,112,0,0.36482084690553745
E00026769,293,94,0,0.32081911262798635
E00026770,377,175,2,0.46949602122015915
E00026771,241,71,0,0.2946058091286307
E00026772,356,67,6,0.2050561797752809
E00026773,285,78,2,0.2807017543859649
E00026774,260,69,0,0.2653846153846154
E00026775,371,122,0,0.3288409703504043
E00026776,143,25,2,0.1888111888111888
E00026777,212,59,0,0.2783018867924528
E00026778,282,125,0,0.4432624113475177
E00026779,290,129,0,0.44482758620689655
E00026780,368,41,0,0.11141304347826086
E00026781,389,85,0,0.2185089974293059
E00026782,348,54,0,0.15517241379310345
E00026783,340,149,0,0.43823529411764706
E00026784,346,159,1,0.4624277456647399
E00026785,352,103,0,0.29261363636363635
E00026786,209,71,0,0.3397129186602871
E00026787,282,85,0,0.30141843971631205
E00026788,217,78,0,0.35944700460829493
E00026789,205,83,0,0.40487804878048783
E00026790,240,86,0,0.35833333333333334
E00026791,210,52,3,0.2619047619047619
E00026792,226,66,0,0.2920353982300885
E00026793,235,59,0,0.251063829787234
E00026795,248,85,0,0.34274193548387094
E00026796,258,70,0,0.2713178294573643
E00026797,245,98,0,0.4
E00026798,232,48,0,0.20689655172413793
E00026799,190,18,0,0.09473684210526316
E00026800,260,137,0,0.5269230769230769
E00026801,257,150,0,0.5836575875486382
E00026802,273,132,0,0.4835164835164835
E00026803,276,158,0,0.572463768115942
E00026804,282,147,0,0.5212765957446809
E00026806,370,127,0,0.34324324324324323
E00026807,218,76,0,0.3486238532110092
E00026808,197,73,0,0.37055837563451777
E00026809,201,52,0,0.25870646766169153
E00026810,165,39,1,0.24242424242424243
E00026811,215,47,0,0.2186046511627907
