OA,Pop_econ,unempl,student,inactive,sum_no_income,mean_no_income
E00025726,241,28,5,92,125,0.5186721991701245
E00025727,137,12,2,68,82,0.5985401459854015
E00025728,252,25,9,71,105,0.4166666666666667
E00025729,220,14,8,97,119,0.5409090909090909
E00025730,223,19,7,107,133,0.5964125560538116
E00025731,223,18,8,81,107,0.4798206278026906
E00025732,247,21,4,74,99,0.4008097165991903
E00025733,347,27,15,77,119,0.34293948126801155
E00025734,255,21,8,100,129,0.5058823529411764
E00025735,287,22,7,110,139,0.4843205574912892
E00025736,347,32,8,121,161,0.46397694524495675
E00025737,251,14,4,117,135,0.5378486055776892
E00025738,240,20,9,88,117,0.4875
E00025739,276,24,4,121,149,0.5398550724637681
E00025740,252,19,6,97,122,0.48412698412698413
E00025741,268,30,9,108,147,0.5485074626865671
E00025742,230,25,6,92,123,0.5347826086956522
E00025743,217,23,4,92,119,0.5483870967741935
E00025744,218,17,4,85,106,0.48623853211009177
E00025745,329,28,17,107,152,0.46200607902735563
E00025746,177,27,3,80,110,0.6214689265536724
E00025747,233,24,6,83,113,0.48497854077253216
E00025748,261,23,7,127,157,0.6015325670498084
E00025749,222,23,8,95,126,0.5675675675675675
E00025750,201,27,5,81,113,0.5621890547263682
E00025751,200,19,10,91,120,0.6
E00025752,178,13,9,69,91,0.5112359550561798
E00025753,229,19,6,101,126,0.5502183406113537
E00025754,222,24,5,92,121,0.545045045045045
E00025756,153,18,6,70,94,0.6143790849673203
E00025757,155,20,3,69,92,0.5935483870967742
E00025758,261,20,15,97,132,0.5057471264367817
E00025759,237,18,7,89,114,0.4810126582278481
E00025760,246,22,15,104,141,0.573170731707317
E00025761,221,28,11,93,132,0.5972850678733032
E00025762,185,18,7,63,88,0.4756756756756757
E00025763,218,21,5,109,135,0.6192660550458715
E00025764,241,18,11,91,120,0.4979253112033195
E00025765,242,12,12,99,123,0.5082644628099173
E00025766,198,20,4,81,105,0.5303030303030303
E00025767,211,21,8,64,93,0.44075829383886256
E00025768,243,13,5,102,120,0.49382716049382713
E00025769,198,16,4,94,114,0.5757575757575758
E00025771,177,24,7,83,114,0.6440677966101694
E00025772,145,19,1,82,102,0.7034482758620689
E00025773,239,27,17,101,145,0.606694560669456
E00025774,210,15,6,78,99,0.4714285714285714
E00025775,162,17,3,71,91,0.5617283950617284
E00025776,228,18,12,105,135,0.5921052631578947
E00025777,275,23,8,110,141,0.5127272727272727
E00025778,257,15,5,98,118,0.4591439688715953
E00025779,194,22,6,84,112,0.5773195876288659
E00025780,84,3,2,35,40,0.47619047619047616
E00025781,187,19,12,75,106,0.5668449197860963
E00025782,180,12,5,83,100,0.5555555555555556
E00025786,218,18,6,83,107,0.4908256880733945
E00025787,225,21,6,115,142,0.6311111111111111
E00025788,298,23,16,144,183,0.6140939597315436
E00025790,240,20,8,112,140,0.5833333333333334
E00025791,216,18,9,90,117,0.5416666666666666
E00025793,205,18,8,98,124,0.6048780487804878
E00025794,211,24,9,94,127,0.6018957345971564
E00025795,230,10,7,102,119,0.5173913043478261
E00025796,238,12,7,112,131,0.5504201680672269
E00025797,194,23,6,83,112,0.5773195876288659
E00025798,229,15,6,97,118,0.5152838427947598
E00025799,271,26,12,121,159,0.5867158671586716
E00025800,263,22,14,91,127,0.4828897338403042
E00025801,241,15,8,124,147,0.6099585062240664
E00025802,202,14,6,54,74,0.36633663366336633
E00025803,209,6,8,59,73,0.3492822966507177
