OA,Pop_educ,Level4_educ,Mean_level4_edu
E00026092,197,73,0.37055837563451777
E00026093,247,123,0.4979757085020243
E00026094,244,181,0.7418032786885246
E00026095,243,91,0.37448559670781895
E00026096,229,60,0.26200873362445415
E00026097,262,166,0.6335877862595419
E00026098,256,174,0.6796875
E00026099,230,108,0.46956521739130436
E00026100,350,253,0.7228571428571429
E00026101,224,121,0.5401785714285714
E00026102,244,169,0.6926229508196722
E00026103,218,136,0.6238532110091743
E00026104,233,141,0.6051502145922747
E00026105,227,156,0.6872246696035242
E00026106,209,155,0.7416267942583732
E00026107,257,159,0.6186770428015564
E00026108,169,43,0.25443786982248523
E00026109,334,215,0.6437125748502994
E00026110,228,107,0.4692982456140351
E00026111,220,106,0.4818181818181818
E00026112,323,222,0.6873065015479877
E00026113,338,230,0.6804733727810651
E00026114,329,243,0.7386018237082067
E00026115,255,186,0.7294117647058823
E00026116,166,86,0.5180722891566265
E00026117,215,103,0.4790697674418605
E00026118,258,150,0.5813953488372093
E00026119,241,166,0.6887966804979253
E00026120,266,172,0.6466165413533834
E00026121,301,203,0.6744186046511628
E00026122,219,132,0.6027397260273972
E00026123,277,166,0.5992779783393501
E00026124,270,200,0.7407407407407407
E00026125,274,184,0.6715328467153284
E00026126,238,141,0.592436974789916
E00026127,274,176,0.6423357664233577
E00026128,326,91,0.2791411042944785
E00026129,288,61,0.21180555555555555
E00026130,252,72,0.2857142857142857
E00026131,240,53,0.22083333333333333
E00026132,319,79,0.2476489028213166
E00026133,216,35,0.16203703703703703
E00026134,247,70,0.2834008097165992
E00026136,358,87,0.2430167597765363
E00026137,350,93,0.26571428571428574
E00026138,116,21,0.1810344827586207
E00026139,247,70,0.2834008097165992
E00026140,266,64,0.24060150375939848
E00026141,199,41,0.20603015075376885
E00026142,168,28,0.16666666666666666
E00026143,252,59,0.23412698412698413
E00026144,267,68,0.2546816479400749
E00026145,198,42,0.21212121212121213
E00026146,213,48,0.22535211267605634
E00026147,353,69,0.1954674220963173
E00026148,221,66,0.2986425339366516
E00026149,249,58,0.23293172690763053
E00026150,251,56,0.22310756972111553
E00026151,302,90,0.2980132450331126
E00026152,250,56,0.224
E00026153,284,70,0.24647887323943662
E00026154,248,52,0.20967741935483872
E00026155,301,80,0.26578073089701
E00026156,167,39,0.23353293413173654
E00026157,223,54,0.242152466367713
E00026158,303,88,0.29042904290429045
E00026159,326,86,0.26380368098159507
E00026160,274,59,0.21532846715328466
E00026161,278,75,0.2697841726618705
E00026162,265,45,0.16981132075471697
E00026163,278,61,0.21942446043165467
E00026164,395,96,0.2430379746835443
E00026165,277,54,0.19494584837545126
E00026166,202,39,0.19306930693069307
E00026167,323,78,0.24148606811145512
E00026168,256,126,0.4921875
E00026169,220,152,0.6909090909090909
E00026170,252,197,0.7817460317460317
E00026171,262,185,0.7061068702290076
E00026172,283,205,0.7243816254416962
E00026173,266,97,0.36466165413533835
E00026174,155,125,0.8064516129032258
E00026175,197,110,0.5583756345177665
E00026176,232,93,0.40086206896551724
E00026177,287,169,0.5888501742160279
E00026178,257,195,0.7587548638132295
E00026179,258,175,0.6782945736434108
E00026180,196,124,0.6326530612244898
E00026181,270,147,0.5444444444444444
E00026182,232,75,0.3232758620689655
E00026183,344,222,0.6453488372093024
E00026184,229,133,0.5807860262008734
E00026185,286,185,0.6468531468531469
E00026186,267,190,0.7116104868913857
E00026187,319,208,0.6520376175548589
E00026188,273,178,0.652014652014652
E00026189,278,200,0.7194244604316546
E00026190,263,171,0.6501901140684411
E00026191,206,151,0.7330097087378641
E00026192,271,165,0.6088560885608856
E00026193,235,164,0.6978723404255319
E00026194,309,205,0.6634304207119741
E00026195,223,152,0.6816143497757847
E00026196,215,134,0.6232558139534884
E00026197,213,103,0.4835680751173709
E00026198,308,204,0.6623376623376623
E00026199,296,176,0.5945945945945946
E00026200,236,143,0.6059322033898306
E00026201,229,172,0.7510917030567685
E00026202,285,118,0.41403508771929826
E00026203,245,144,0.5877551020408164
E00026204,325,143,0.44
E00026205,256,99,0.38671875
E00026206,242,160,0.6611570247933884
E00026207,284,179,0.6302816901408451
E00026208,432,267,0.6180555555555556
E00026209,284,129,0.45422535211267606
E00026210,212,114,0.5377358490566038
E00026211,279,132,0.4731182795698925
E00026212,299,121,0.40468227424749165
E00026213,245,87,0.3551020408163265
E00026214,202,72,0.3564356435643564
E00026215,235,109,0.46382978723404256
E00026216,261,99,0.3793103448275862
E00026217,225,110,0.4888888888888889
E00026218,249,42,0.1686746987951807
E00026219,260,88,0.3384615384615385
E00026220,261,114,0.4367816091954023
E00026221,226,48,0.21238938053097345
E00026222,396,181,0.45707070707070707
E00026223,330,57,0.17272727272727273
E00026224,382,75,0.19633507853403143
E00026225,422,69,0.16350710900473933
E00026226,390,113,0.28974358974358977
E00026227,190,35,0.18421052631578946
E00026228,351,122,0.3475783475783476
E00026230,329,121,0.3677811550151976
E00026231,203,63,0.3103448275862069
E00026232,188,75,0.39893617021276595
E00026233,319,87,0.2727272727272727
E00026234,299,83,0.27759197324414714
E00026235,454,100,0.22026431718061673
E00026236,162,27,0.16666666666666666
E00026237,226,98,0.4336283185840708
E00026238,354,117,0.3305084745762712
E00026239,447,137,0.30648769574944074
E00026241,330,62,0.18787878787878787
E00026242,299,76,0.25418060200668896
E00026243,349,128,0.3667621776504298
E00026244,182,22,0.12087912087912088
E00026245,422,212,0.5023696682464455
E00026246,311,59,0.18971061093247588
E00026247,266,50,0.18796992481203006
E00026248,434,189,0.43548387096774194
E00026250,245,46,0.18775510204081633
E00026251,573,78,0.13612565445026178
E00026252,456,261,0.5723684210526315
E00026253,539,79,0.14656771799628943
E00026254,211,38,0.18009478672985782
E00026255,279,102,0.3655913978494624
E00026256,304,67,0.22039473684210525
E00026257,244,37,0.15163934426229508
E00026258,208,15,0.07211538461538461
E00026259,215,31,0.14418604651162792
E00026260,211,25,0.11848341232227488
E00026261,226,35,0.15486725663716813
E00026262,162,24,0.14814814814814814
E00026263,257,35,0.13618677042801555
E00026264,227,26,0.1145374449339207
E00026265,198,33,0.16666666666666666
E00026266,232,32,0.13793103448275862
E00026267,243,30,0.12345679012345678
E00026268,246,40,0.16260162601626016
E00026269,265,29,0.10943396226415095
E00026270,268,51,0.19029850746268656
E00026272,244,29,0.11885245901639344
E00026273,226,26,0.11504424778761062
E00026274,323,41,0.12693498452012383
E00026275,315,47,0.1492063492063492
E00026276,265,31,0.1169811320754717
E00026277,259,32,0.12355212355212356
E00026278,230,16,0.06956521739130435
E00026279,219,27,0.1232876712328767
E00026280,122,15,0.12295081967213115
E00026281,202,26,0.12871287128712872
E00026282,265,32,0.12075471698113208
E00026283,343,34,0.09912536443148688
E00026284,237,39,0.16455696202531644
E00026285,209,27,0.1291866028708134
E00026286,205,20,0.0975609756097561
E00026287,237,25,0.10548523206751055
E00026288,327,67,0.20489296636085627
E00026289,240,20,0.08333333333333333
E00026290,222,17,0.07657657657657657
E00026291,255,38,0.14901960784313725
E00026292,231,64,0.27705627705627706
E00026293,227,33,0.14537444933920704
E00026294,266,39,0.14661654135338345
E00026295,236,51,0.21610169491525424
E00026296,219,25,0.1141552511415525
E00026297,195,37,0.18974358974358974
E00026298,296,67,0.22635135135135134
E00026299,251,41,0.16334661354581673
E00026300,208,25,0.1201923076923077
E00026301,291,64,0.21993127147766323
E00026302,266,40,0.15037593984962405
E00026303,296,39,0.13175675675675674
E00026304,254,27,0.1062992125984252
E00026305,255,23,0.09019607843137255
E00026306,321,53,0.16510903426791276
E00026307,314,63,0.20063694267515925
E00026308,290,70,0.2413793103448276
E00026309,197,19,0.09644670050761421
E00026310,343,112,0.32653061224489793
E00026312,332,77,0.2319277108433735
E00026313,220,46,0.20909090909090908
E00026314,306,90,0.29411764705882354
E00026315,433,98,0.22632794457274827
E00026316,310,96,0.3096774193548387
E00026317,258,39,0.1511627906976744
E00026318,175,33,0.18857142857142858
E00026319,239,64,0.26778242677824265
E00026320,239,82,0.34309623430962344
E00026321,232,34,0.14655172413793102
E00026322,220,33,0.15
E00026323,289,46,0.15916955017301038
E00026324,227,19,0.08370044052863436
E00026325,279,52,0.1863799283154122
E00026326,246,58,0.23577235772357724
E00026327,198,32,0.16161616161616163
E00026328,288,53,0.1840277777777778
E00026329,274,27,0.09854014598540146
E00026330,227,52,0.2290748898678414
E00026331,266,32,0.12030075187969924
E00026332,219,20,0.091324200913242
E00026333,253,35,0.1383399209486166
E00026334,338,50,0.14792899408284024
E00026335,258,82,0.3178294573643411
E00026336,202,17,0.08415841584158416
E00026337,158,22,0.13924050632911392
E00026338,328,76,0.23170731707317074
E00026340,409,85,0.2078239608801956
E00026341,349,82,0.2349570200573066
E00026342,260,48,0.18461538461538463
E00026343,251,53,0.21115537848605578
E00026344,316,28,0.08860759493670886
E00026345,300,39,0.13
E00026346,253,66,0.2608695652173913
E00026348,311,54,0.17363344051446947
E00026349,311,34,0.10932475884244373
E00026350,241,52,0.2157676348547718
E00026351,211,30,0.14218009478672985
E00026352,223,36,0.16143497757847533
E00026353,362,70,0.19337016574585636
E00026354,246,34,0.13821138211382114
E00026355,320,78,0.24375
E00026356,204,10,0.049019607843137254
E00026357,204,28,0.13725490196078433
E00026358,194,26,0.13402061855670103
E00026359,344,45,0.1308139534883721
E00026360,179,11,0.061452513966480445
E00026361,248,30,0.12096774193548387
E00026362,310,53,0.17096774193548386
E00026363,223,25,0.11210762331838565
E00026364,181,14,0.07734806629834254
E00026365,210,24,0.11428571428571428
E00026366,256,19,0.07421875
E00026367,192,19,0.09895833333333333
E00026369,229,16,0.06986899563318777
E00026371,289,25,0.08650519031141868
E00026372,288,23,0.0798611111111111
E00026373,216,42,0.19444444444444445
E00026374,228,37,0.16228070175438597
E00026375,342,82,0.23976608187134502
E00026376,254,27,0.1062992125984252
E00026378,371,118,0.31805929919137466
E00026379,187,100,0.5347593582887701
E00026381,173,30,0.17341040462427745
E00026383,331,164,0.4954682779456193
E00026384,196,57,0.29081632653061223
E00026386,411,203,0.49391727493917276
E00026387,193,36,0.18652849740932642
E00026390,1430,309,0.21608391608391608
E00026392,201,63,0.31343283582089554
E00026393,159,92,0.5786163522012578
E00026395,261,45,0.1724137931034483
E00026396,95,49,0.5157894736842106
E00026397,275,85,0.3090909090909091
E00026398,196,46,0.23469387755102042
E00026400,191,112,0.5863874345549738
E00026401,278,93,0.3345323741007194
E00026402,251,46,0.18326693227091634
E00026403,225,48,0.21333333333333335
E00026405,169,40,0.23668639053254437
E00026406,193,56,0.29015544041450775
E00026407,168,40,0.23809523809523808
E00026408,138,101,0.7318840579710145
E00026409,235,56,0.23829787234042554
E00026410,231,94,0.4069264069264069
E00026411,322,116,0.36024844720496896
E00026412,306,70,0.22875816993464052
E00026413,345,103,0.2985507246376812
E00026414,236,61,0.2584745762711864
E00026415,379,96,0.2532981530343008
E00026416,309,116,0.37540453074433655
E00026417,399,78,0.19548872180451127
E00026418,265,66,0.2490566037735849
E00026419,275,79,0.2872727272727273
E00026420,272,89,0.3272058823529412
E00026421,260,63,0.2423076923076923
E00026422,236,74,0.3135593220338983
E00026423,281,123,0.4377224199288256
E00026424,231,77,0.3333333333333333
E00026425,159,63,0.39622641509433965
E00026426,348,130,0.3735632183908046
E00026427,277,82,0.296028880866426
E00026428,244,89,0.36475409836065575
E00026429,230,101,0.4391304347826087
E00026430,272,77,0.28308823529411764
E00026431,282,98,0.3475177304964539
E00026432,274,61,0.22262773722627738
E00026433,270,100,0.37037037037037035
E00026434,324,66,0.2037037037037037
E00026435,290,89,0.30689655172413793
E00026436,292,124,0.4246575342465753
E00026437,385,118,0.3064935064935065
E00026438,248,75,0.3024193548387097
E00026439,237,113,0.4767932489451477
E00026440,269,98,0.36431226765799257
E00026441,285,82,0.28771929824561404
E00026442,272,83,0.30514705882352944
E00026443,270,71,0.26296296296296295
E00026444,283,88,0.31095406360424027
E00026445,321,120,0.37383177570093457
E00026446,382,139,0.36387434554973824
E00026447,292,82,0.2808219178082192
E00026448,320,108,0.3375
E00026449,297,92,0.30976430976430974
E00026450,246,90,0.36585365853658536
E00026451,240,70,0.2916666666666667
E00026452,276,48,0.17391304347826086
E00026453,289,43,0.14878892733564014
E00026454,184,10,0.05434782608695652
E00026455,238,19,0.07983193277310924
E00026457,216,51,0.2361111111111111
E00026458,263,52,0.19771863117870722
E00026459,259,42,0.16216216216216217
E00026460,189,11,0.0582010582010582
E00026461,356,84,0.23595505617977527
E00026462,181,24,0.13259668508287292
E00026463,332,76,0.2289156626506024
E00026464,252,29,0.11507936507936507
E00026465,228,51,0.2236842105263158
E00026466,306,39,0.12745098039215685
E00026467,197,24,0.1218274111675127
E00026468,242,32,0.1322314049586777
